Number,title,artist,altered genre,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,decade
31,Rock with You - Single Version,Michael Jackson,pop,pop,1958,21,1979,114,54,81,-13,16,85,221,18,4,72,1970
32,Another Brick In The Wall Pt. 2 - 2011 Remastered Version,Pink Floyd,rock,album rock,1944.5,34.5,1979,104,39,69,-16,25,72,239,8,4,72,1970
33,YMCA - Original Version 1978,Village People,disco,disco,1944.66,33.34,1978,127,97,72,-5,12,73,287,6,14,71,1970
34,Take Me Home Country Roads,John Denver,adult standards,adult standards,1943,28,1971,82,40,46,-9,12,63,190,76,3,70,1970
35,Reelin' In The Years,Steely Dan,rock,album rock,1947.8,24.2,1972,135,76,52,-10,11,71,275,12,4,70,1970
36,Mandy,Barry Manilow,adult standards,adult standards,1943,31,1974,104,46,31,-9,14,32,213,42,3,69,1970
37,Everything I Own,Bread,adult standards,adult standards,1942.25,29.75,1972,79,34,37,-13,10,45,187,74,3,69,1970
38,Sailing,Rod Stewart,adult standards,adult standards,1945,30,1975,129,37,43,-10,32,19,278,37,3,68,1970
39,Detroit Rock City,KISS,rock,album rock,1949,29,1978,91,90,55,-7,29,46,216,4,7,68,1970
40,Let Your Love Flow,The Bellamy Brothers,country,country,1948,28,1976,109,55,68,-15,14,95,199,6,3,68,1970
41,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,rock,album rock,1947.5,26.5,1974,118,44,48,-15,22,76,235,0,4,68,1970
43,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,adult standards,1942,38,1980,151,43,63,-16,11,95,264,23,4,67,1970
44,Fat Bottomed Girls - 2011 Remaster,Queen,rock,glam rock,1948,30,1978,89,68,33,-8,34,42,256,3,5,67,1970
45,Love Really Hurts Without You,Billy Ocean,rock,dance rock,1950,26,1976,141,90,52,-4,10,96,179,0,3,66,1970
46,Your Song,Elton John,rock,glam rock,1947,24,1971,128,33,55,-11,11,30,241,78,3,66,1970
47,Here You Come Again,Dolly Parton,pop,classic country pop,1946,31,1977,106,51,53,-9,4,56,179,65,4,66,1970
48,Move On Up,Curtis Mayfield,soul,chicago soul,1942,28,1970,139,97,54,-6,12,93,166,42,9,66,1970
49,Waterloo,ABBA,pop,europop,1946.5,27.5,1974,148,95,45,-5,9,65,169,40,5,66,1970
50,A Song for You,Donny Hathaway,soul,chicago soul,1945,26,1971,88,22,32,-13,25,7,326,82,4,65,1970
51,"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,adult standards,adult standards,1942,34,1976,114,30,34,-11,9,19,185,93,3,65,1970
52,Dancing Queen,ABBA,pop,europop,1946.5,29.5,1976,101,93,51,-4,56,68,231,17,5,65,1970
53,Can't You See,The Marshall Tucker Band,rock,album rock,1948,25,1973,164,71,41,-5,11,58,365,28,3,65,1970
54,Won't Get Fooled Again - Original Album Version,The Who,rock,album rock,1944.75,26.25,1971,135,92,69,-6,8,23,511,30,6,65,1970
55,Bennie And The Jets - Remastered 2014,Elton John,rock,glam rock,1947,26,1973,133,67,67,-8,50,78,323,26,5,65,1970
56,Sunny,Boney M.,disco,disco,1950,26,1976,122,87,65,-6,13,80,242,9,11,64,1970
57,It's A Shame,The Spinners,soul,classic soul,1940,30,1970,199,64,37,-12,12,71,190,9,6,64,1970
58,Voulez-Vous,ABBA,pop,europop,1946.5,32.5,1979,127,77,71,-7,17,90,309,15,4,63,1970
59,Goodbye Yellow Brick Road - Remastered 2014,Elton John,rock,glam rock,1947,26,1973,121,47,56,-8,15,40,193,45,3,63,1970
60,Since You Been Gone,Rainbow,rock,album rock,1947.4,31.6,1979,121,60,73,-10,60,94,198,37,4,63,1970
61,Sorry Seems To Be The Hardest Word,Elton John,rock,glam rock,1947,29,1976,118,22,37,-13,20,11,229,83,3,62,1970
62,You To Me Are Everything,The Real Thing,funk,brit funk,1952,47,1999,102,91,64,-8,8,82,210,23,10,62,1970
63,Please Mr. Postman,Carpenters,adult standards,adult standards,1948,27,1975,133,55,66,-12,24,96,173,14,3,62,1970
64,Stumblin' In - 2017 Remaster,Suzi Quatro,pop,classic uk pop,1950,28,1978,129,72,76,-11,35,92,240,13,3,61,1970
65,Lady Writer,Dire Straits,rock,album rock,1949.5,29.5,1979,148,81,63,-9,7,96,225,10,3,61,1970
66,Knowing Me Knowing You,ABBA,pop,europop,1946.5,29.5,1976,107,73,55,-7,24,91,242,4,3,61,1970
67,Ophelia - Remastered 2000,The Band,rock,album rock,1941.2,33.8,1975,92,68,83,-7,33,95,213,68,3,61,1970
68,I Will Survive - Extended Version,Gloria Gaynor,disco,disco,1943,35,1978,116,85,76,-5,27,59,197,6,5,61,1970
69,Sweet Virginia,The Rolling Stones,rock,album rock,1942.4,29.6,1972,107,74,48,-5,26,56,267,50,4,60,1970
70,The Way We Were,Barbra Streisand,adult standards,adult standards,1942,32,1974,138,32,26,-12,13,17,211,89,3,60,1970
71,September Earth, Wind & Fire,disco,disco,1951,23,1974,126,83,69,-7,25,98,215,17,3,60,1970
72,Doctor Doctor - 2007 Remaster,UFO,rock,album rock,1951.5,22.5,1974,143,80,30,-7,50,56,252,0,5,60,1970
73,Ain't No Mountain High Enough,Diana Ross,adult standards,adult standards,1944,26,1970,99,79,39,-5,38,38,215,19,4,60,1970
74,Baby Come Back,Player,rock,soft rock,1950,27,1977,157,57,65,-11,12,56,214,5,11,59,1970
