Number,title,artist,altered genre,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,decade
82,Save a Prayer - 2009 Remaster,Duran Duran,rock,dance rock,1960.2,21.8,1982,114,71,57,-9,16,67,333,35,3,62,1980
83,Baby Come To Me,Patti Austin,adult standards,adult standards,1950,31,1981,90,50,63,-12,14,70,215,55,8,62,1980
84,Fame - Rerecorded,Irene Cara,rock,dance rock,1959,21,1980,131,80,71,-7,8,94,319,7,3,62,1980
85,Hard Habit to Break - 2006 Remaster,Chicago,adult standards,adult standards,1946,38,1984,81,61,58,-6,17,40,284,45,3,61,1980
86,Rock You Like a Hurricane,Scorpions,rock,album rock,1948,36,1984,124,83,58,-6,32,67,254,0,4,61,1980
87,When the Children Cry,White Lion,rock,album rock,1961,26,1987,130,24,49,-14,7,38,259,67,3,61,1980
88,Is This Love - 2017 Remaster,Whitesnake,rock,album rock,1954.666667,32.33333333,1987,180,79,33,-7,12,53,285,11,4,60,1980
89,I Knew You Were Waiting (For Me),George Michael,pop,new wave pop,1963,23,1986,108,68,73,-11,31,68,242,27,4,60,1980
90,You Keep Me Hangin On,Kim Wilde,dance pop,dance pop,1960,26,1986,123,68,69,-12,14,71,255,8,3,60,1980
91,Dancing with Tears in My Eyes,Ultravox,rock,art rock,1950.5,33.5,1984,144,91,59,-8,60,93,244,15,4,59,1980
92,In The Army Now,Status Quo,rock,album rock,1949,37,1986,105,73,68,-8,14,94,281,11,2,59,1980
93,Here I Go Again - 2017 Remaster,Whitesnake,rock,album rock,1954.666667,32.33333333,1987,90,85,38,-6,9,27,276,15,4,58,1980
94,Holiday,Madonna,dance pop,dance pop,1958,25,1983,118,70,81,-9,5,73,232,3,5,58,1980
95,I Think We're Alone Now,Tiffany,pop,new wave pop,1971,16,1987,130,89,65,-5,9,70,227,0,4,58,1980
96,Zulu Nation Throw Down,Afrika Bambaataa,hip hop,bronx hip hop,1957,23,1980,108,95,85,-4,10,91,433,76,19,50,1980
97,It's Only Love - 2008 Remaster,Simply Red,soul,british soul,1960,24,1984,92,88,67,-5,4,75,299,51,4,50,1980
98,Lucky Star,Madonna,dance pop,dance pop,1958,25,1983,117,81,80,-5,22,93,338,20,4,46,1980
99,Pump Up The Jam,Technotronic,dance pop,eurodance,1956,33,1989,125,84,89,-9,5,72,320,1,7,46,1980
100,Sweet Dreams,La Bouche,pop,bubblegum dance,1941,42,1983,134,96,66,-6,9,83,205,8,5,62,1980
1,No Scrubs,TLC,hip hop,atl hip hop,1970,29,1999,93,68,74,-4,7,59,214,3,10,79,1990
2,I Want It That Way,Backstreet Boys,pop,boy band,1975,24,1999,99,70,69,-6,16,48,214,22,3,76,1990
3,"Because You Loved Me (Theme from ""Up Close and Personal"")",CÃ©line Dion,pop,canadian pop,1968,28,1996,120,47,61,-10,10,18,274,31,3,74,1990
4,Big Poppa - 2005 Remaster,The Notorious B.I.G.,hip hop,east coast hip hop,1972,22,1994,84,58,78,-7,14,76,253,43,27,74,1990
5,I Got 5 On It,Luniz,funk,g funk,1975,20,1995,174,71,60,-8,13,58,254,21,36,73,1990
6,Boom Boom Boom Boom!!,Vengaboys,pop,bubblegum dance,1974,24,1998,138,89,80,-7,3,97,202,1,4,73,1990
7,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,pop,boy band,1975,22,1997,108,85,73,-4,27,61,225,4,4,73,1990
8,Bed Of Roses,Bon Jovi,metal,glam metal,1962,30,1992,165,60,31,-6,21,16,394,10,3,73,1990
9,Don't Look Back in Anger - Remastered,Oasis,pop,britpop,1970,25,1995,163,94,33,-3,15,33,290,7,6,73,1990
10,Always Be My Baby,Mariah Carey,dance pop,dance pop,1970,25,1995,79,53,65,-8,25,49,258,46,4,73,1990
11,Angels,Robbie Williams,dance pop,dance pop,1974,23,1997,150,59,43,-6,10,24,265,16,3,73,1990
12,Return of the Mack,Mark Morrison,soul,british soul,1972,24,1996,95,83,72,-5,16,61,213,1,11,72,1990
13,Pony,Ginuwine,dance pop,dance pop,1970,29,1999,142,61,75,-9,12,97,252,0,9,72,1990
14,Freed From Desire,Gala,dance pop,eurodance,1975,22,1997,129,86,70,-4,10,64,213,59,5,71,1990
15,Better Off Alone,Alice DJ,pop,europop,1973,25,1998,137,82,67,-9,29,76,218,0,6,71,1990
16,Hero,Mariah Carey,dance pop,dance pop,1970,23,1993,120,38,50,-9,12,18,258,74,3,71,1990
17,End Of The Road,Boyz II Men,pop,boy band,1972,19,1991,150,43,64,-9,6,53,351,7,2,71,1990
18,I'll Be Missing You (feat. 112),Diddy,dance pop,dance pop,1969,28,1997,110,48,86,-9,59,93,302,5,6,71,1990
19,Forgot About Dre,Dr. Dre,funk,g funk,1965,34,1999,134,74,92,-1,16,62,222,8,8,71,1990
20,Fantasy,Mariah Carey,dance pop,dance pop,1970,25,1995,102,73,67,-8,12,80,243,14,4,70,1990
21,Who Am I (What's My Name)?,Snoop Dogg,funk,g funk,1971,22,1993,97,83,69,-4,52,69,246,0,5,70,1990
22,Mr. Vain - Original Radio Edit,Culture Beat,pop,bubblegum dance,1964,29,1993,133,100,70,-8,12,39,257,7,4,69,1990
23,Spending My Time,Roxette,pop,europop,1958.5,32.5,1991,171,57,42,-5,13,22,276,24,3,69,1990
24,Let's Get Loud,Jennifer Lopez,dance pop,dance pop,1969,30,1999,131,94,82,-5,35,91,239,14,6,69,1990
25,The Rhythm of the Night,Corona,pop,bubblegum dance,1968,26,1994,128,81,69,-12,10,80,264,0,3,69,1990
26,The Power of Love,Celine Dion,pop,canadian pop,1968,25,1993,140,52,55,-9,24,25,342,36,3,68,1990
27,Narcotic - Radio Edit,Liquido,rock,german alternative rock,1975,23,1998,102,61,62,-7,9,45,236,0,2,68,1990
28,Miami,Will Smith,hip hop,hip hop,1968,29,1997,108,53,88,-6,4,89,198,3,15,68,1990
29,Hypnotize - 2007 Remaster,The Notorious B.I.G.,hip hop,east coast hip hop,1972,25,1997,94,69,90,-4,29,63,230,18,28,68,1990
30,3AM,Matchbox Twenty,neo mellow,neo mellow,1969.25,26.75,1996,108,67,52,-9,12,54,226,1,3,68,1990
31,High,Lighthouse Family,pop,europop,1965,32,1997,102,63,66,-9,13,59,308,11,3,68,1990
32,L'Amour Toujours,Gigi D'Agostino,dance pop,eurodance,1967,32,1999,139,73,62,-8,36,81,239,3,3,67,1990
33,"Rhythm Is A Dancer - 7"" Edit",SNAP!,pop,diva house,1967,25,1992,124,75,79,-11,14,71,226,27,4,67,1990
34,Say My Name,Destiny's Child,dance pop,dance pop,1980.333333,18.66666667,1999,67,68,52,-4,13,75,271,27,16,67,1990
35,Heal the World,Michael Jackson,pop,pop,1958,33,1991,81,49,53,-8,10,10,384,54,5,67,1990
36,The Boy Is Mine,Brandy,dance pop,dance pop,1979.5,18.5,1998,93,71,70,-7,32,76,295,54,4,66,1990
37,Weak,SWV,dance pop,dance pop,1971.333333,20.66666667,1992,128,53,69,-11,7,57,292,11,4,66,1990
38,Walking in Memphis,Cher,dance pop,dance pop,1946,49,1995,129,68,70,-7,17,53,235,59,3,66,1990
39,Angel of Mine - Radio Mix,Monica,dance pop,dance pop,1980,18,1998,90,56,59,-7,22,21,250,0,2,66,1990
40,Picture Of You,Boyzone,pop,boy band,1952,45,1997,117,92,76,-6,37,88,206,10,4,65,1990
41,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",CÃ©line Dion,pop,canadian pop,1968,24,1992,77,40,46,-10,13,12,249,64,3,65,1990
42,Run To You,Bryan Adams,rock,album rock,1959,25,1984,127,81,56,-6,29,64,233,1,3,65,1990
43,No Matter What,Boyzone,pop,boy band,1952,46,1998,93,42,70,-9,14,53,274,19,2,65,1990
44,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,pop,bubblegum dance,1972,26,1998,128,97,82,-11,39,77,284,26,6,64,1990
45,Dreams,Gabrielle,soul,british soul,1970,23,1993,99,47,75,-14,22,57,223,17,4,64,1990
46,Fading Like a Flower (Every Time You Leave),Roxette,pop,europop,1958.5,32.5,1991,105,67,61,-6,22,32,231,20,3,64,1990
47,It's Not Right But It's Okay,Whitney Houston,dance pop,dance pop,1963,35,1998,128,80,81,-7,7,53,292,16,10,64,1990
48,Stay Another Day,East 17,pop,boy band,1972,22,1994,128,49,52,-8,19,44,267,58,3,63,1990
49,A Whole New World (Aladdin's Theme),Peabo Bryson,adult standards,adult standards,1951,42,1993,108,32,52,-10,14,13,243,63,3,63,1990
50,Encore Une Fois - Future Breeze Edit,Sash!,dance,bubblegum dance,1970,27,1997,133,93,66,-7,19,84,221,1,4,62,1990
51,Incomplete,Sisqo,dance pop,dance pop,1978,21,1999,119,44,75,-8,14,27,274,28,8,62,1990
52,Juicy - 2007 Remaster,The Notorious B.I.G.,hip hop,east coast hip hop,1972,22,1994,96,82,87,-5,15,79,301,48,26,62,1990
53,Mysterious Girl - Radio Edit,Peter Andre,pop,europop,1973,22,1995,172,82,66,-6,30,86,217,14,21,62,1990
54,I Have Nothing - Film Version,Whitney Houston,dance pop,dance pop,1963,29,1992,153,45,49,-9,9,17,296,76,3,61,1990
55,I Promised Myself,Nick Kamen,,,1962,28,1990,128,80,58,-12,3,69,241,0,3,61,1990
56,Relight My Fire (feat. Lulu),Take That,pop,boy band,1969.5,23.5,1993,123,94,65,-7,10,93,252,4,5,61,1990
57,More And More - Single Version,Captain Hollywood Project,pop,bubblegum dance,1962,31,1993,126,85,66,-12,9,71,254,23,3,60,1990
58,Free - Mood II Swing Radio Edit,Ultra Naté,electronic,deep house,1968,29,1997,125,92,76,-6,4,74,233,0,4,60,1990
59,"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,rock,glam rock,1947,47,1994,161,39,30,-15,11,14,292,26,3,59,1990
60,Please Don't Go,Double You,dance pop,eurodance,1965,27,1992,120,84,71,-12,3,49,200,6,4,59,1990
61,Piu bella cosa,Eros Ramazzotti,pop,italian pop,1963,33,1996,110,79,67,-5,11,62,265,8,3,58,1990
62,When the Heartache Is Over,Tina Turner,disco,disco,1939,60,1999,115,77,69,-6,7,43,224,1,3,58,1990
63,Let There Be Love - 2002 Digital Remaster,Simple Minds,rock,art rock,1960,31,1991,88,88,49,-6,13,60,309,8,4,57,1990
64,I'll Be There,Mariah Carey,dance pop,dance pop,1970,28,1998,82,51,41,-10,93,30,264,70,3,56,1990
65,Don't Stop,ATB,dance pop,german dance,1973,26,1999,134,94,71,-5,32,57,221,15,4,56,1990
66,Das Boot,U96,pop,bubble trance,1967,25,1992,123,88,64,-8,25,33,314,1,7,56,1990
67,Hold On My Heart - 2007 Digital Remaster,Genesis,rock,album rock,1950.333333,40.66666667,1991,172,36,46,-13,7,27,278,61,3,56,1990
68,Real Real Gone,Van Morrison,rock,classic rock,1945,45,1990,142,85,70,-7,19,95,221,38,3,56,1990
69,King Of My Castle - Roy Malone's King Mix,Wamdue Project,disco,disco house,1972,26,1998,125,54,87,-9,6,76,299,4,8,55,1990
70,Be With You,Enrique Iglesias,dance pop,dance pop,1975,24,1999,122,87,68,-5,5,54,219,4,3,55,1990
71,Ain't That Just the Way,Lutricia McNeal,,,1973,23,1996,174,65,74,-9,19,77,215,6,22,55,1990
72,Have You Ever - Radio Edit,Brandy,dance pop,dance pop,1979.5,18.5,1998,134,48,68,-7,30,23,215,60,4,54,1990
73,Gangsta's Paradise,Coolio,funk,g funk,1963,32,1995,80,63,64,-6,40,42,242,4,5,54,1990
74,Show Me Love,Robin S,disco,disco house,1962,28,1990,120,72,82,-6,8,56,254,1,13,53,1990
75,When I Look Into Your Eyes,Firehouse,rock,album rock,1963.75,28.25,1992,147,61,39,-8,16,25,240,0,3,53,1990
76,Insomnia - Radio Edit,Faithless,electronic,big beat,1968,27,1995,127,92,71,-9,37,53,216,6,4,50,1990
77,If You Ever,East 17,pop,boy band,1972,24,1996,140,68,58,-9,31,57,255,18,3,48,1990
78,Doin' It,LL Cool J,hip hop,east coast hip hop,1968,28,1996,95,53,81,-12,12,62,294,34,19,46,1990
79,Please Forgive Me,Bryan Adams,rock,album rock,1959,34,1993,67,46,53,-7,10,15,356,50,3,43,1990
80,The Best - Edit,Tina Turner,disco,disco,1939,52,1991,104,83,68,-6,21,82,250,1,3,71,1990
81,Come On Eileen,Dexys Midnight Runners,pop,bow pop,1955.5,37.5,1993,107,87,41,-4,8,82,206,20,9,68,1990
82,Blue Monday '88,New Order,rock,alternative rock,1956.333333,37.66666667,1994,130,89,68,-8,6,95,245,0,4,65,1990
83,Now And Forever,Richard Marx,folk,mellow gold,1963,31,1994,78,26,44,-11,11,17,215,66,3,65,1990
84,Gloria,Laura Branigan,rock,dance rock,1952,43,1995,131,87,78,-4,15,88,295,14,3,66,1990
85,"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,jazz,jazz fusion,1948,43,1991,191,39,41,-17,10,40,215,42,3,58,1990
86,Romeo - 2014 Remaster,Donna Summer,dance pop,dance pop,1948,48,1996,141,85,85,-8,11,96,199,3,4,43,1990
1,In the End,Linkin Park,metal,alternative metal,1977,23,2000,105,86,56,-6,21,40,217,1,6,83,2000
2,The Scientist,Coldplay,rock,permanent wave,1977,25,2002,146,44,56,-7,11,21,310,73,2,83,2000
3,Numb,Linkin Park,metal,alternative metal,1977,26,2003,110,86,50,-4,64,24,186,0,4,81,2000
4,Fix You,Coldplay,rock,permanent wave,1977,28,2005,138,42,21,-9,11,12,296,16,3,81,2000
5,Umbrella,Rihanna,pop,barbadian pop,1988,20,2008,174,83,58,-5,4,57,276,1,13,80,2000
6,Stronger,Kanye West,rap,chicago rap,1977,30,2007,104,72,62,-8,41,49,312,1,15,80,2000
7,The Real Slim Shady,Eminem,hip hop,detroit hip hop,1972,28,2000,105,66,95,-4,5,76,284,3,6,80,2000
8,Low (feat. T-Pain),Flo Rida,dance pop,dance pop,1979,29,2008,128,61,92,-6,14,30,231,9,8,79,2000
9,American Boy,Estelle,r&b,r&b,1980,28,2008,118,73,73,-3,7,51,285,17,33,79,2000
10,Yeah! (feat. Lil Jon & Ludacris),Usher,hip hop,atl hip hop,1978,26,2004,105,79,89,-5,4,58,250,2,11,79,2000
11,Hall of Fame,The Script,rock,celtic rock,1980,32,2012,85,87,42,-4,12,63,203,7,6,78,2000
12,Party In The U.S.A.,Miley Cyrus,dance pop,dance pop,1992,17,2009,96,70,65,-5,9,47,202,0,4,78,2000
13,Candy Shop,50 Cent,hip hop,east coast hip hop,1975,30,2005,125,57,61,-8,38,76,209,3,47,78,2000
14,Fireflies,Owl City,pop,pop,1986,23,2009,180,66,51,-7,12,46,228,3,4,78,2000
15,Dynamite,Taio Cruz,dance pop,dance pop,1980,30,2010,120,78,75,-4,4,82,203,0,9,77,2000
16,So Sick,Ne-Yo,dance pop,dance pop,1979,27,2006,93,57,45,-8,19,58,207,25,31,77,2000
17,Take A Bow,Rihanna,pop,barbadian pop,1988,20,2008,82,47,70,-8,9,57,229,25,7,77,2000
18,Dilemma,Nelly,dance pop,dance pop,1974,28,2002,168,55,73,-8,20,61,289,23,14,77,2000
19,I Gotta Feeling,The Black Eyed Peas,dance pop,dance pop,1975,34,2009,128,77,74,-6,51,61,289,9,3,77,2000
20,Halo,BeyoncÃ©,dance pop,dance pop,1981,27,2008,80,72,51,-6,6,47,262,27,6,77,2000
21,In Da Club,50 Cent,hip hop,east coast hip hop,1975,28,2003,90,71,90,-3,7,78,193,26,37,77,2000
22,Just the Way You Are,Bruno Mars,pop,pop,1985,25,2010,109,84,64,-5,9,43,221,2,4,77,2000
23,Crank That (Soulja Boy),Soulja Boy,hip hop,atl hip hop,1990,17,2007,140,74,74,-2,5,80,222,52,8,76,2000
24,Gasolina,Daddy Yankee,latin,latin,1976,28,2004,96,80,86,-6,8,75,193,33,6,76,2000
25,Let Me Love You,Mario,dance pop,dance pop,1986,18,2004,95,58,66,-9,12,56,257,24,9,76,2000
26,Don't Stop The Music,Rihanna,pop,barbadian pop,1988,20,2008,123,67,84,-6,5,54,267,3,6,76,2000
27,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,hip hop,detroit hip hop,1972,32,2004,171,74,69,-5,34,6,322,1,26,76,2000
28,I Knew You Were Trouble.,Taylor Swift,dance pop,dance pop,1989,23,2012,77,47,62,-7,3,68,220,0,4,75,2000
29,Temperature,Sean Paul,dance pop,dance pop,1973,32,2005,125,60,95,-5,7,82,219,11,7,75,2000
30,Empire State of Mind (Part II) Broken Down,Alicia Keys,pop,hip pop,1981,28,2009,93,37,48,-8,12,14,216,74,3,75,2000
31,Where Is The Love?,The Black Eyed Peas,dance pop,dance pop,1975,28,2003,94,69,84,-3,13,83,273,10,18,75,2000
32,Replay,Iyaz,dance pop,dance pop,1987,22,2009,91,75,71,-6,17,20,182,17,7,74,2000
33,Live Your Life (feat. Rihanna),T.I.,hip hop,atl hip hop,1980,28,2008,160,86,38,-3,21,48,339,7,26,74,2000
34,Grenade,Bruno Mars,pop,pop,1985,25,2010,110,56,71,-7,12,23,223,15,6,74,2000
35,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,dance pop,1984,28,2012,126,82,65,-4,67,77,231,0,4,74,2000
36,Womanizer,Britney Spears,dance pop,dance pop,1981,28,2009,139,70,72,-5,9,24,224,7,6,74,2000
37,You Found Me,The Fray,rock,modern rock,1980.5,28.5,2009,152,80,34,-5,14,40,242,2,4,74,2000
38,One Tow Step (feat. Missy Elliot),Ciara,dance pop,dance pop,1985,19,2004,113,51,94,-11,4,84,204,4,16,74,2000
39,Smack That,Akon,dance pop,dance pop,1973,33,2006,119,74,94,-5,9,93,212,32,5,73,2000
40,Alors on danse,Stromae,pop,belgian pop,1985,25,2010,120,59,79,-9,7,71,206,10,8,73,2000
41,No Air (feat. Chris Brown),Jordin Sparks,dance pop,dance pop,1989,18,2007,160,76,47,-5,6,33,264,5,20,73,2000
42,We Are Never Ever Getting Back Together,Taylor Swift,dance pop,dance pop,1989,23,2012,86,68,63,-6,12,75,193,1,9,73,2000
43,Love Story,Taylor Swift,dance pop,dance pop,1989,19,2008,119,74,62,-4,8,31,236,13,3,73,2000
44,Pon de Replay,Rihanna,pop,barbadian pop,1972,33,2005,99,64,78,-8,10,50,247,0,16,73,2000
45,A Milli,Lil Wayne,hip hop,hip hop,1982,26,2008,151,70,67,-9,19,77,222,4,28,73,2000
46,U Remind Me,Usher,hip hop,atl hip hop,1978,23,2001,94,63,66,-5,25,73,267,19,8,73,2000
47,Right Round,Flo Rida,dance pop,dance pop,1979,30,2009,125,67,72,-7,23,71,205,1,6,72,2000
48,Because Of You,Ne-Yo,dance pop,dance pop,1979,28,2007,110,54,81,-6,10,83,267,53,4,72,2000
49,Call on Me - Radio Mix,Eric Prydz,electronic,big room,1976,28,2004,126,84,60,-7,84,45,171,0,38,72,2000
50,Only Girl (In The World),Rihanna,pop,barbadian pop,1972,38,2010,126,72,79,-4,7,61,235,13,4,72,2000
51,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,hip hop,bronx hip hop,1970,31,2001,94,71,84,-5,11,92,267,2,6,72,2000
52,Pump It,The Black Eyed Peas,dance pop,dance pop,1975,30,2005,154,93,65,-3,75,74,213,1,18,72,2000
53,Break Your Heart,Taio Cruz,dance pop,dance pop,1980,30,2010,122,93,61,-4,9,57,202,3,3,71,2000
54,Numb / Encore,JAY-Z,hip hop,east coast hip hop,1969,35,2004,107,80,69,-4,55,80,205,6,16,71,2000
55,Hate That I Love You,Rihanna,pop,barbadian pop,1972,36,2008,94,73,64,-5,10,73,219,32,9,71,2000
56,Lollipop,Lil Wayne,hip hop,hip hop,1982,26,2008,148,43,83,-9,14,45,299,6,8,71,2000
57,Rockstar,Nickelback,metal,alternative metal,1974,31,2005,144,91,62,-3,34,69,252,5,4,71,2000
58,I Wanna Love You,Akon,dance pop,dance pop,1973,33,2006,100,45,87,-9,31,35,247,4,4,70,2000
59,Crush,David Archuleta,dance pop,dance pop,1990,18,2008,162,66,57,-5,7,49,214,1,3,70,2000
60,Apologize,Timbaland,dance pop,dance pop,1972,35,2007,118,60,66,-6,10,8,184,4,3,70,2000
61,7 Days,Craig David,soul,british soul,1981,20,2001,83,81,66,-7,10,89,235,23,5,70,2000
62,Broken Strings,James Morrison,neo mellow,neo mellow,1984,24,2008,112,72,57,-5,8,32,250,1,3,70,2000
63,Bleeding Love,Leona Lewis,soul,british soul,1985,22,2007,104,65,64,-6,15,20,263,19,4,70,2000
64,In My Head,Jason Derulo,dance pop,dance pop,1989,21,2010,110,75,76,-4,35,85,199,3,3,69,2000
65,Ridin',Chamillionaire,rap,dirty south rap,1979,26,2005,143,80,79,-5,30,84,303,19,10,69,2000
66,Hot N Cold,Katy Perry,dance pop,dance pop,1984,24,2008,132,84,71,-4,7,86,220,0,4,69,2000
67,Breakeven,The Script,rock,celtic rock,1980,28,2008,94,70,63,-5,8,49,261,14,2,68,2000
68,Snap Yo Fingers,Youngbloodz,hip hop,atl hip hop,1977.5,28.5,2006,82,76,84,-5,29,63,274,1,23,68,2000
69,Boom Boom Pow,The Black Eyed Peas,dance pop,dance pop,1974,35,2009,130,86,87,-6,13,40,251,13,7,68,2000
70,Lady - Hear Me Tonight,Modjo,disco,disco house,1977,24,2001,126,81,72,-6,6,87,307,1,4,68,2000
71,Superstar,Jamelia,pop,europop,1981,22,2003,110,65,80,-7,4,82,215,5,4,67,2000
72,Love Lockdown,Kanye West,rap,chicago rap,1977,31,2008,120,52,76,-8,11,11,270,5,3,67,2000
73,The Tide Is High - Radio Mix,Atomic Kitten,pop,bubblegum dance,1981,22,2003,103,69,78,-3,3,64,205,2,3,66,2000
74,Release Me,Agnes,dance pop,dance pop,1988,21,2009,128,92,62,-3,11,72,256,1,3,65,2000
75,About You Now,Sugababes,pop,bubblegum dance,1985,22,2007,82,70,58,-6,49,59,212,0,4,65,2000
76,Pjanoo - Radio Edit,Eric Prydz,electronic,big room,1976,32,2008,126,87,60,-5,11,84,157,0,3,65,2000
77,Let It Rock,Kevin Rudolf,dance pop,dance pop,1983,25,2008,113,78,61,-4,7,44,231,0,4,65,2000
78,Everytime We Touch - Radio Edit,Cascada,pop,bubblegum dance,1986.3,24.7,2011,142,98,64,-5,37,49,199,0,6,64,2000
79,Lean Back,Terror Squad,hip hop,bronx hip hop,1974.5,29.5,2004,127,92,80,-3,7,70,247,11,47,64,2000
80,TiK ToK,Kesha,dance pop,dance pop,1987,27,2014,120,67,75,-7,28,63,200,6,12,63,2000
81,All Rise,Blue,pop,boy band,1979.5,21.5,2001,98,74,72,-3,17,93,224,12,3,63,2000
82,Fergalicious,Fergie,dance pop,dance pop,1975,31,2006,129,58,91,-8,13,83,292,6,32,63,2000
83,Something,Lasgo,dance,belgian dance,1971,30,2001,140,98,64,-7,11,38,221,3,4,63,2000
84,When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,dance pop,1967,42,2009,130,86,66,-5,20,50,189,1,3,63,2000
85,Anyone Of Us (Stupid Mistake),Gareth Gates,pop,europop,1984,18,2002,107,72,70,-6,8,65,228,28,3,61,2000
86,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,dance pop,1989,17,2006,100,42,62,-7,12,29,203,29,2,61,2000
87,Thank God I Found You,Mariah Carey,dance pop,dance pop,1970,29,1999,130,53,47,-6,11,15,257,59,3,61,2000
88,Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,dance pop,1967,42,2009,130,30,96,-6,8,80,312,2,13,60,2000
89,Cooler Than Me - Single Mix,Mike Posner,dance pop,dance pop,1988,22,2010,130,82,75,-5,69,65,213,15,6,60,2000
90,Bump Bump Bump,B2K,pop,boy band,1985,18,2003,96,68,84,-6,5,89,283,10,21,60,2000
91,Beautiful Girls,Sean Kingston,dance pop,dance pop,1990,24,2014,118,64,54,-7,24,75,242,14,9,60,2000
92,I Know You Want Me (Calle Ocho),Pitbull,dance pop,dance pop,1981,28,2009,127,74,82,-6,24,80,237,1,14,60,2000
93,Leave The World Behind - Radio Edit,Axwell,electronic,big room,1977,32,2009,128,85,53,-8,32,28,162,0,5,58,2000
94,DÃ©senchantÃ©e - Radio Edit,Kate Ryan,pop,belgian pop,1980,28,2008,140,94,52,-5,23,29,221,17,7,57,2000
95,Moving too fast - Radio Edit,Artful Dodger,rock,uk garage,1972,40,2012,127,51,84,-11,3,52,238,9,5,57,2000
96,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,hip hop,east coast hip hop,1972,30,2002,86,75,56,-4,64,49,324,1,32,56,2000
97,Knock You Down,Keri Hilson,dance pop,dance pop,1982,27,2009,155,88,59,-5,17,65,326,1,16,56,2000
98,Dragostea Din Tei - Italian Version,O-Zone,pop,bubblegum dance,1980,30,2010,130,89,67,-6,10,80,215,4,3,44,2000
99,What A Girl Wants - Eddie Arroyo Dance Radio Edit,Christina Aguilera,dance pop,dance pop,1980,19,1999,130,92,75,-7,7,66,244,1,3,40,2000
100,Material Girl,Madonna,dance pop,dance pop,1958,51,2009,137,88,74,-3,10,98,240,33,3,72,2000
101,Impossible - Main,Shontelle,pop,barbadian pop,1985,34,2019,90,57,59,-5,11,51,226,44,4,32,2000
22,Sandstorm,Darude,dance pop,eurodance,1975,25,2000,136,97,53,-8,8,59,225,14,5,70,2000
57,It's Gonna Be Me,*NSYNC,pop,boy band,1976.8,23.2,2000,165,87,64,-5,6,88,191,5,8,62,2000
3,It Wasn't Me,Shaggy,dance pop,dance pop,1968,32,2000,95,61,85,-5,31,65,228,6,7,76,2000
1,bad guy,Billie Eilish,electronic,electropop,2001,18,2019,135,43,70,-11,10,56,194,33,38,94,2010
2,7 rings,Ariana Grande,dance pop,dance pop,1993,26,2019,140,32,78,-11,9,33,179,59,33,90,2010
3,Old Town Road - Remix,Lil Nas X,rap,country rap,1999,20,2019,136,62,88,-6,11,64,157,5,10,89,2010
4,SeÃ±orita,Shawn Mendes,pop,canadian pop,1998,21,2019,117,55,76,-6,8,75,191,4,3,88,2010
5,rockstar (feat. 21 Savage),Post Malone,rap,dfw rap,1995,23,2018,160,52,59,-6,13,13,218,12,7,88,2010
6,SAD!,XXXTENTACION,rap,emo rap,1998,20,2018,75,61,74,-5,12,47,167,26,14,87,2010
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,rap,dfw rap,1995,24,2019,90,52,76,-4,7,93,158,53,6,86,2010
8,God's Plan,Drake,hip hop,canadian hip hop,1986,32,2018,77,45,75,-9,55,36,199,3,11,85,2010
9,One Kiss (with Dua Lipa),Calvin Harris,dance pop,dance pop,1984,34,2018,124,86,79,-3,8,59,215,4,11,85,2010
10,Thunder,Imagine Dragons,rock,modern rock,1987,30,2017,168,82,61,-5,15,29,187,1,4,85,2010
11,I Fall Apart,Post Malone,rap,dfw rap,1995,21,2016,144,54,56,-5,20,29,223,7,4,84,2010
12,HUMBLE.,Kendrick Lamar,hip hop,conscious hip hop,1987,30,2017,150,62,91,-7,10,42,177,0,10,84,2010
13,Starboy,The Weeknd,r&b,canadian contemporary r&b,1990,26,2016,186,59,68,-7,14,49,230,14,28,84,2010
14,FRIENDS,Marshmello,electronic,brostep,1992,26,2018,95,88,63,-2,13,53,203,21,5,83,2010
15,Psycho (feat. Ty Dolla $ign),Post Malone,rap,dfw rap,1995,23,2018,140,56,75,-8,11,46,221,55,11,83,2010
16,Congratulations,Post Malone,rap,dfw rap,1995,21,2016,123,80,63,-4,25,49,220,22,4,83,2010
17,In My Feelings,Drake,hip hop,canadian hip hop,1986,32,2018,91,63,84,-6,40,35,218,6,13,83,2010
18,The Hills,The Weeknd,r&b,canadian contemporary r&b,1990,25,2015,113,56,58,-7,14,14,242,7,5,83,2010
19,no tears left to cry,Ariana Grande,dance pop,dance pop,1993,25,2018,122,71,70,-6,29,35,206,4,6,83,2010
