Number,title,artist,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,In the End,Linkin Park,alternative metal,1977,23,2000,105,86,56,-6,21,40,217,1,6,83
2,The Scientist,Coldplay,permanent wave,1977,25,2002,146,44,56,-7,11,21,310,73,2,83
3,Numb,Linkin Park,alternative metal,1977,26,2003,110,86,50,-4,64,24,186,0,4,81
4,Fix You,Coldplay,permanent wave,1977,28,2005,138,42,21,-9,11,12,296,16,3,81
5,Umbrella,Rihanna,barbadian pop,1988,20,2008,174,83,58,-5,4,57,276,1,13,80
6,Stronger,Kanye West,chicago rap,1977,30,2007,104,72,62,-8,41,49,312,1,15,80
7,The Real Slim Shady,Eminem,detroit hip hop,1972,28,2000,105,66,95,-4,5,76,284,3,6,80
8,Low (feat. T-Pain),Flo Rida,dance pop,1979,29,2008,128,61,92,-6,14,30,231,9,8,79
9,American Boy,Estelle,r&b,1980,28,2008,118,73,73,-3,7,51,285,17,33,79
10,Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,1978,26,2004,105,79,89,-5,4,58,250,2,11,79
11,Hall of Fame,The Script,celtic rock,1980,32,2012,85,87,42,-4,12,63,203,7,6,78
12,Party In The U.S.A.,Miley Cyrus,dance pop,1992,17,2009,96,70,65,-5,9,47,202,0,4,78
13,Candy Shop,50 Cent,east coast hip hop,1975,30,2005,125,57,61,-8,38,76,209,3,47,78
14,Fireflies,Owl City,pop,1986,23,2009,180,66,51,-7,12,46,228,3,4,78
15,Dynamite,Taio Cruz,dance pop,1980,30,2010,120,78,75,-4,4,82,203,0,9,77
16,So Sick,Ne-Yo,dance pop,1979,27,2006,93,57,45,-8,19,58,207,25,31,77
17,Take A Bow,Rihanna,barbadian pop,1988,20,2008,82,47,70,-8,9,57,229,25,7,77
18,Dilemma,Nelly,dance pop,1974,28,2002,168,55,73,-8,20,61,289,23,14,77
19,I Gotta Feeling,The Black Eyed Peas,dance pop,1975,34,2009,128,77,74,-6,51,61,289,9,3,77
20,Halo,Beyonc̩,dance pop,1981,27,2008,80,72,51,-6,6,47,262,27,6,77
21,In Da Club,50 Cent,east coast hip hop,1975,28,2003,90,71,90,-3,7,78,193,26,37,77
22,Just the Way You Are,Bruno Mars,pop,1985,25,2010,109,84,64,-5,9,43,221,2,4,77
23,Crank That (Soulja Boy),Soulja Boy,atl hip hop,1990,17,2007,140,74,74,-2,5,80,222,52,8,76
24,Gasolina,Daddy Yankee,latin,1976,28,2004,96,80,86,-6,8,75,193,33,6,76
25,Let Me Love You,Mario,dance pop,1986,18,2004,95,58,66,-9,12,56,257,24,9,76
26,Don't Stop The Music,Rihanna,barbadian pop,1988,20,2008,123,67,84,-6,5,54,267,3,6,76
27,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,1972,32,2004,171,74,69,-5,34,6,322,1,26,76
28,I Knew You Were Trouble.,Taylor Swift,dance pop,1989,23,2012,77,47,62,-7,3,68,220,0,4,75
29,Temperature,Sean Paul,dance pop,1973,32,2005,125,60,95,-5,7,82,219,11,7,75
30,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,1981,28,2009,93,37,48,-8,12,14,216,74,3,75
31,Where Is The Love?,The Black Eyed Peas,dance pop,1975,28,2003,94,69,84,-3,13,83,273,10,18,75
32,Replay,Iyaz,dance pop,1987,22,2009,91,75,71,-6,17,20,182,17,7,74
33,Live Your Life (feat. Rihanna),T.I.,atl hip hop,1980,28,2008,160,86,38,-3,21,48,339,7,26,74
34,Grenade,Bruno Mars,pop,1985,25,2010,110,56,71,-7,12,23,223,15,6,74
35,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,1984,28,2012,126,82,65,-4,67,77,231,0,4,74
36,Womanizer,Britney Spears,dance pop,1981,28,2009,139,70,72,-5,9,24,224,7,6,74
37,You Found Me,The Fray,modern rock,1980.5,28.5,2009,152,80,34,-5,14,40,242,2,4,74
38,One Tow Step (feat. Missy Elliot),Ciara,dance pop,1985,19,2004,113,51,94,-11,4,84,204,4,16,74
39,Smack That,Akon,dance pop,1973,33,2006,119,74,94,-5,9,93,212,32,5,73
40,Alors on danse,Stromae,belgian pop,1985,25,2010,120,59,79,-9,7,71,206,10,8,73
41,No Air (feat. Chris Brown),Jordin Sparks,dance pop,1989,18,2007,160,76,47,-5,6,33,264,5,20,73
42,We Are Never Ever Getting Back Together,Taylor Swift,dance pop,1989,23,2012,86,68,63,-6,12,75,193,1,9,73
43,Love Story,Taylor Swift,dance pop,1989,19,2008,119,74,62,-4,8,31,236,13,3,73
44,Pon de Replay,Rihanna,barbadian pop,1972,33,2005,99,64,78,-8,10,50,247,0,16,73
45,A Milli,Lil Wayne,hip hop,1982,26,2008,151,70,67,-9,19,77,222,4,28,73
46,U Remind Me,Usher,atl hip hop,1978,23,2001,94,63,66,-5,25,73,267,19,8,73
47,Right Round,Flo Rida,dance pop,1979,30,2009,125,67,72,-7,23,71,205,1,6,72
48,Because Of You,Ne-Yo,dance pop,1979,28,2007,110,54,81,-6,10,83,267,53,4,72
49,Call on Me - Radio Mix,Eric Prydz,big room,1976,28,2004,126,84,60,-7,84,45,171,0,38,72
50,Only Girl (In The World),Rihanna,barbadian pop,1972,38,2010,126,72,79,-4,7,61,235,13,4,72
51,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,bronx hip hop,1970,31,2001,94,71,84,-5,11,92,267,2,6,72
52,Pump It,The Black Eyed Peas,dance pop,1975,30,2005,154,93,65,-3,75,74,213,1,18,72
53,Break Your Heart,Taio Cruz,dance pop,1980,30,2010,122,93,61,-4,9,57,202,3,3,71
