Number,title,artist,artist birth year,artist age,release year,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
74,Show Me Love,Robin S,1962,28,1990,disco house,120,72,82,-6,8,56,254,1,13,53
75,When I Look Into Your Eyes,Firehouse,1963.75,28.25,1992,album rock,147,61,39,-8,16,25,240,0,3,53
76,Insomnia - Radio Edit,Faithless,1968,27,1995,big beat,127,92,71,-9,37,53,216,6,4,50
77,If You Ever,East 17,1972,24,1996,boy band,140,68,58,-9,31,57,255,18,3,48
78,Doin' It,LL Cool J,1968,28,1996,east coast hip hop,95,53,81,-12,12,62,294,34,19,46
79,Please Forgive Me,Bryan Adams,1959,34,1993,album rock,67,46,53,-7,10,15,356,50,3,43
80,The Best - Edit,Tina Turner,1939,52,1991,disco,104,83,68,-6,21,82,250,1,3,71
81,Come On Eileen,Dexys Midnight Runners,1955.5,37.5,1993,bow pop,107,87,41,-4,8,82,206,20,9,68
82,Blue Monday '88,New Order,1956.333333,37.66666667,1994,alternative rock,130,89,68,-8,6,95,245,0,4,65
83,Now And Forever,Richard Marx,1963,31,1994,mellow gold,78,26,44,-11,11,17,215,66,3,65
84,Gloria,Laura Branigan,1952,43,1995,dance rock,131,87,78,-4,15,88,295,14,3,66
85,"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,1948,43,1991,jazz fusion,191,39,41,-17,10,40,215,42,3,58
86,Romeo - 2014 Remaster,Donna Summer,1948,48,1996,dance pop,141,85,85,-8,11,96,199,3,4,43
