Number,title,artist,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Here Comes The Sun - Remastered 2009,The Beatles,british invasion,1942,27,1969,129,54,56,-10,18,39,186,3,3,82
2,Come Together - Remastered 2009,The Beatles,british invasion,1942,27,1969,165,38,53,-12,9,19,260,3,4,79
3,Sweet Caroline,Neil Diamond,adult standards,1941,28,1969,63,13,53,-16,24,58,204,61,3,78
4,Yesterday - Remastered 2009,The Beatles,british invasion,1942,23,1965,97,18,33,-12,9,32,126,88,3,78
5,Can't Help Falling in Love,Elvis Presley,adult standards,1935,26,1961,100,29,40,-14,11,34,182,94,3,78
6,Fly Me To The Moon (In Other Words),Frank Sinatra,adult standards,1915,47,1962,119,26,67,-14,6,37,147,45,5,76
8,White Room,Cream,album rock,1942,26,1968,110,58,55,-13,4,46,298,19,3,73
10,Build Me Up Buttercup,The Foundations,brill building pop,1941,27,1968,134,51,66,-7,28,85,178,31,3,72
11,My Way,Frank Sinatra,adult standards,1915,54,1969,75,38,40,-7,12,23,277,70,3,72
12,Surfin' U.S.A. - Remastered,The Beach Boys,baroque pop,1942,21,1963,159,85,55,-6,11,97,149,66,4,71
13,Pinball Wizard,The Who,album rock,1945,24,1969,124,72,54,-9,26,47,181,2,4,69
15,Please Mr. Postman,The Marvelettes,brill building pop,1944,17,1961,122,78,79,-5,18,97,148,73,3,68
17,Back In The U.S.S.R. - Remastered 2009,The Beatles,british invasion,1942,26,1968,142,97,48,-7,6,49,163,7,9,66
18,Suite: Judy Blue Eyes - Remastered,Crosby Stills & Nash,album rock,1944,25,1969,154,36,45,-13,20,30,444,47,4,66
19,Waterloo Sunset - Mono Mix,The Kinks,album rock,1944,23,1967,108,69,51,-7,17,42,194,16,2,65
20,Baby I Need Your Loving,Four Tops,adult standards,1942,23,1965,121,69,63,-6,19,65,166,44,4,63
23,It Takes Two,Marvin Gaye,classic soul,1939,27,1966,151,48,52,-11,8,81,178,21,5,62
24,This Will Be Our Year,The Zombies,art rock,1945,23,1968,98,42,54,-7,19,54,128,63,3,61
28,Rhythm of the Rain,The Cascades,adult standards,1938,25,1963,117,66,66,-8,14,67,146,63,4,59
