Number,title,artist,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Livin' On A Prayer,Bon Jovi,glam metal,1959,27,1986,123,89,53,-4,29,80,249,8,3,83
2,Africa,TOTO,album rock,1953,29,1982,93,37,67,-18,5,73,296,26,3,83
3,Another One Bites The Dust - Remastered 2011,Queen,glam rock,1948,32,1980,110,53,93,-6,16,75,215,11,16,82
4,Break My Stride,Matthew Wilder,new wave pop,1953,30,1983,110,59,92,-11,9,83,184,20,6,81
5,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1963,24,1987,119,82,71,-9,9,87,291,21,5,80
6,Summer Of '69,Bryan Adams,album rock,1959,25,1984,139,83,51,-6,7,77,216,2,4,80
7,You Give Love A Bad Name,Bon Jovi,glam metal,1959,27,1986,123,96,54,-3,34,81,223,7,5,80
8,Everybody Wants To Rule The World,Tears For Fears,dance rock,1958,27,1985,112,80,65,-12,10,54,251,35,5,80
9,I'm Still Standing,Elton John,glam rock,1947,36,1983,177,90,50,-7,14,77,183,36,18,79
10,Uptown Girl,Billy Joel,album rock,1949,34,1983,129,94,70,-3,60,79,198,7,5,77
11,Last Christmas,Wham!,dance rock,1963,21,1984,108,58,74,-9,18,94,265,19,3,78
12,Uptown Girl,Billy Joel,album rock,1949,34,1983,129,94,70,-3,60,79,198,7,5,77
13,Radio Ga Ga - 2011 Mix,Queen,glam rock,1948,36,1984,112,50,74,-8,19,66,348,18,4,76
14,Heaven,Bryan Adams,album rock,1959,25,1984,140,59,38,-7,12,34,243,5,3,76
15,9 to 5,Dolly Parton,classic country pop,1946,34,1980,105,78,55,-6,63,81,162,42,5,76
16,Eye of the Tiger,Survivor,album rock,1952.5,32.5,1985,109,60,82,-9,9,55,246,13,3,76
17,Right Here Waiting,Richard Marx,mellow gold,1963,26,1989,178,25,40,-14,10,13,264,80,3,75
18,Listen to Your Heart,Roxette,europop,1958.5,29.5,1988,86,58,54,-5,11,34,328,11,3,75
19,Born in the U.S.A.,Bruce Springsteen,classic rock,1949,35,1984,122,95,40,-6,10,58,279,0,6,75
20,Pour Some Sugar On Me - Remastered 2017,Def Leppard,album rock,1959.5,27.5,1987,85,95,27,-5,28,57,267,0,10,74
21,Against All Odds (Take a Look at Me Now) ,Phil Collins,mellow gold,1951,33,1984,116,50,58,-7,13,11,206,20,3,74
22,Maniac,Michael Sembello,hi-nrg,1954,29,1983,159,53,62,-12,4,84,245,9,7,73
23,Hungry Eyes,Eric Carmen,adult standards,1949,48,1997,110,55,71,-9,12,55,251,1,3,73
24,Panama - 2015 Remaster,Van Halen,album rock,1955,29,1984,141,98,53,-5,7,46,210,0,11,73
25,Forever Young,Alphaville,dance rock,1954,30,1984,137,48,49,-9,24,33,227,42,3,73
26,I Love Rock 'N Roll,Joan Jett & The Blackhearts,glam punk,1958,23,1981,94,72,54,-5,66,90,175,33,4,72
